system,full,short,study,scale_var,scale_name,change
DNK,0.193084001657169,0.19121937702355565,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,-0.0018646246336133376
DNW,0.18011240189384048,0.16795551414347476,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,-0.012156887750365719
DSH,0.06988348956572402,0.06320563521461009,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,-0.0066778543511139266
FRA,0.10854061914650419,0.10805120721831916,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,-4.89411928185024e-4
ITA,0.2241847656856431,0.23469066642505865,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,0.010505900739415541
LTU,0.08429829846692367,0.09005351854938272,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,0.005755220082459045
LVA,0.1283786375626004,0.1562770283243095,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,0.027898390761709108
POL,0.16664331146802688,0.1787647694444872,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,0.012121457976460304
SVK,0.0406869432053956,0.07789093470733131,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,0.037203991501935714
SWE,0.08893841881099633,0.10569038122781507,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,0.01675196241681874
TWN,-0.09886491829282346,-0.08749330467778477,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,0.01137161361503869
